"","Var1","Freq"
"1","0",90605
"2","1",22904
"3","2",3350
"4","3",907
"5","4",344
"6","5",110
"7","6",34
"8","7",35
"9","8",17
"10","9",22
"11","10",14
"12","11",3
"13","12",5
"14","13",1
"15","14",1
