"source","target"
389129967,"394491103"
1133127614,"394491103"
608779746,"394491103"
302146282,"NULL"
39097882,"NULL"
789878702,"NULL"
527812559,"394491103"
56612601,"394491103"
36784176,"NULL"
308243044,"NULL"
119294791,"NULL"
127648294,"394491103"
586258441,"394491103"
14861810,"NULL"
534760581,"NULL"
63744673,"NULL"
1214279148,"394491103"
464113367,"NULL"
74053031,"NULL"
1056552596,"394491103"
208317185,"NULL"
393254695,"NULL"
24638514,"NULL"
340381565,"394491103"
365591244,"NULL"
565104419,"NULL"
902915935,"NULL"
238583542,"NULL"
50866314,"NULL"
327781402,"NULL"
284596624,"394491103"
838216352,"NULL"
557470514,"NULL"
27060143,"12375812"
302146282,"NULL"
1337634956,"394491103"
1000546747,"394491103"
274700845,"NULL"
14361306,"394491103"
77686689,"1337634956"
170421521,"NULL"
33931364,"NULL"
1025778211,"NULL"
310285439,"NULL"
24638514,"NULL"
27402907,"394491103"
302146282,"NULL"
716526715,"394491103"
412680832,"NULL"
112087111,"21130327"
350708031,"NULL"
39882023,"NULL"
328308319,"394491103"
36643006,"NULL"
522623083,"NULL"
537762061,"NULL"
491694593,"NULL"
50154602,"394491103"
338744449,"NULL"
325906383,"394491103"
288497614,"394491103"
30965487,"NULL"
760923277,"NULL"
132819083,"NULL"
77686689,"NULL"
311071260,"NULL"
718225465,"NULL"
14304501,"33325270"
119294791,"NULL"
34514769,"NULL"
25610314,"NULL"
172093787,"394491103"
92671731,"NULL"
25507272,"245435539"
186052544,"NULL"
816487645,"394491103"
114033042,"171078814"
497321520,"NULL"
543157448,"NULL"
310291713,"394491103"
275214820,"NULL"
1364616728,"394491103"
775014884,"394491103"
350708031,"NULL"
269026565,"394491103"
1053668558,"394491103"
77288462,"NULL"
551432700,"NULL"
311717880,"NULL"
599455091,"NULL"
246835235,"394491103"
31628213,"NULL"
1337634956,"77686689"
144664384,"NULL"
24170087,"NULL"
72880098,"NULL"
62943011,"NULL"
99738142,"NULL"
294925689,"NULL"
569322929,"NULL"
719217896,"NULL"
266867464,"10973822"
70624643,"3948041"
451855603,"NULL"
334339713,"NULL"
229598366,"NULL"
322272724,"394491103"
48375295,"NULL"
350708031,"NULL"
261369681,"NULL"
380884067,"NULL"
459808944,"NULL"
336053544,"394491103"
938179226,"NULL"
260484012,"NULL"
70297864,"NULL"
211587685,"35394732"
296018424,"NULL"
102126818,"245435539"
944360065,"NULL"
390051183,"NULL"
1223224909,"394491103"
125499769,"NULL"
335075269,"NULL"
39882023,"NULL"
50154602,"NULL"
230296172,"NULL"
301128654,"NULL"
35385936,"NULL"
1269719851,"NULL"
393636238,"NULL"
113822956,"NULL"
84491162,"394491103"
219218192,"394491103"
150841632,"NULL"
303112750,"NULL"
457955858,"394491103"
311290480,"NULL"
487745074,"NULL"
222948727,"NULL"
49014993,"307423638"
426928402,"394491103"
267313367,"NULL"
1345734037,"NULL"
232043827,"NULL"
1053946364,"NULL"
101387291,"394491103"
428585903,"271205076"
1031061578,"NULL"
440122476,"NULL"
349117641,"394491103"
35818208,"394491103"
367121033,"394491103"
331961736,"NULL"
199032224,"NULL"
753712136,"390534422"
45288271,"NULL"
66071310,"NULL"
1305268471,"NULL"
321600411,"NULL"
215074122,"NULL"
46022705,"NULL"
177428453,"NULL"
172978525,"NULL"
43226709,"NULL"
294925689,"NULL"
757713978,"NULL"
53788660,"NULL"
772539080,"NULL"
22115384,"NULL"
357963468,"NULL"
359698365,"NULL"
362831974,"NULL"
292663543,"NULL"
378421933,"NULL"
620499499,"NULL"
284189098,"NULL"
418206112,"NULL"
557470514,"NULL"
22707049,"922933370"
230933856,"NULL"
350054193,"612251522"
21927929,"NULL"
24695962,"394491103"
34022762,"NULL"
110897013,"NULL"
389844603,"NULL"
278903295,"394491103"
43760780,"394491103"
208317185,"NULL"
766125152,"37412575"
522529439,"NULL"
514967089,"258510868"
46022705,"NULL"
27349616,"NULL"
557470514,"NULL"
303905761,"394491103"
303003974,"62636035"
39882023,"NULL"
94030033,"NULL"
1240052984,"NULL"
347197676,"NULL"
456168675,"NULL"
58804874,"NULL"
130630736,"NULL"
1067487559,"394491103"
586258441,"NULL"
499516485,"NULL"
70641005,"47685065"
150437645,"NULL"
494238508,"NULL"
71698964,"NULL"
104662796,"291933287"
172958971,"NULL"
80589377,"NULL"
416784656,"394491103"
276197961,"394491103"
512243082,"394491103"
39689163,"NULL"
348183714,"394491103"
546864838,"394491103"
53705969,"NULL"
284189098,"NULL"
245435539,"102126818"
352552504,"352353504"
339312045,"394491103"
64841815,"NULL"
