from_user,to_user
188557731,363289814
51863423,393712607
192739122,392560870
1352942834,394491103
47548762,8452442
384512594,495064370
527812559,394491103
25574379,394491103
30161718,282242155
84491162,348905588
1321429316,394491103
376524453,598877260
87202607,394491103
384610456,394491103
357868711,394491103
766125152,394491103
499118717,233097409
315216381,221109581
607541199,394491103
42228497,70074208
380641528,394491103
487836582,394491103
339304643,62852823
805650068,34141352
1365208590,394491103
423663473,394491103
224706419,394491103
280700081,394491103
24633152,394491103
926926682,394491103
64473478,394491103
531624017,394491103
1348330398,394491103
500137728,574920740
368187747,394491103
30596702,14361306
423663473,394491103
377708942,394491103
392560870,192739122
185991798,394491103
60088550,394491103
284796428,394491103
205139274,281990245
323119403,394491103
58085784,394491103
106895318,394491103
30596702,14361306
392389809,394491103
359473983,394491103
373934278,394491103
391626754,456079971
47204591,394491103
586258441,394491103
62715615,394491103
549557320,394491103
385641546,394491103
399566643,394491103
500341716,394491103
62852823,339304643
215086332,19185333
465346300,394491103
1138022580,394491103
233017038,233017038
171960153,70451230
486237119,394491103
221109581,315216381
136773000,394491103
85767966,394491103
74031893,394491103
