Pos,Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
62,Call of Duty 4: Modern Warfare,X360,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
63,Super Mario Kart,SNES,2007,Misc,Nintendo,4.28,1.75,1.98,0.7,8.72
64,Mario Party DS,DS,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
65,Halo 2,XB,2011,Platform,Nintendo,3.77,2.19,1.86,0.55,8.38
66,Super Mario 3D Land,3DS,2012,Shooter,Microsoft Game Studios,5.61,1.8,0.04,0.75,8.2
67,Halo 4,X360,2010,Misc,Nintendo,1.68,3.3,2.46,0.68,8.12
68,Wii Party,Wii,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09
69,GoldenEye 007,N64,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
70,Final Fantasy X,PS2,1994,Adventure,Broderbund,4.91,2.79,0,0.33,8.03
71,Myst,PC,2007,Misc,Nintendo,3.69,1.96,1.58,0.68,7.91
72,Mario Party 8,Wii,2011,Racing,Nintendo,3.02,2.31,2.07,0.5,7.9
73,Mario Kart 7,3DS,2007,Sports,Sega,2.55,3.77,0.66,0.9,7.87
74,Mario & Sonic at the Olympic Games,Wii,1999,Role-Playing,Square,2.28,1.72,3.63,0.23,7.86
75,Final Fantasy VIII,PS,1982,Puzzle,Atari,7.28,0.45,0,0.08,7.81
76,Pac-Man,2600,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6
77,The Legend of Zelda: Ocarina of Time,N64,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
78,Crash Bandicoot 2: Cortex Strikes Back,PS,2008,Role-Playing,Nintendo,2.69,1.63,2.69,0.53,7.53
79,Pokémon Platinum Version,DS,2005,Action,Take-Two Interactive,2.85,2.7,0.24,1.69,7.48
80,Grand Theft Auto: Liberty City Stories,PSP,1988,Platform,Nintendo,5.39,1.18,0.7,0.19,7.46
81,Super Mario Bros. 2,NES,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2
82,Need for Speed Underground,PS2,2011,Role-Playing,Bethesda Softworks,3.98,2.4,0.09,0.72,7.19
83,The Elder Scrolls V: Skyrim,X360,1998,Fighting,Namco Bandai Games,3.27,2.22,1.4,0.29,7.16
84,Tekken 3,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
85,Crash Bandicoot 3: Warped,PS,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
86,Super Smash Bros. Melee,GC,2010,Platform,Nintendo,3.38,2.06,0.98,0.61,7.03
