Pos,Game,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
1445,WWE SmackDown vs Raw 2008,PSP,1996,Racing,Psygnosis,0.65,0.44,0,0.08,1.17
1446,Destruction Derby 2,PS,2004,Puzzle,Nintendo,0.68,0.25,0.21,0.02,1.17
1447,Mario vs. Donkey Kong,GBA,2008,Misc,Disney Interactive Studios,0.76,0.29,0,0.11,1.16
1448,Disney Sing It,Wii,2006,Racing,Take-Two Interactive,0.97,0.04,0,0.16,1.16
1449,Midnight Club 3: DUB Edition Remix,PS2,2004,Shooter,Ubisoft,0.57,0.44,0,0.15,1.16
1450,Tom Clancy's Ghost Recon: Jungle Storm,PS2,1997,Fighting,Sony Computer Entertainment,0.39,0.27,0.43,0.08,1.16
1451,Bushido Blade,PS,2013,Shooter,Microsoft Game Studios,0.71,0.31,0.03,0.11,1.16
1452,Gears of War: Judgment,X360,2006,Puzzle,Nintendo,0.72,0.01,0.36,0.07,1.16
1453,Mario vs. Donkey Kong 2: March of the Minis,DS,2001,Racing,Electronic Arts,0.57,0.44,0,0.15,1.16
1454,NASCAR Thunder 2002,PS2,2010,Sports,Sega,0,0.93,0,0.23,1.16
1455,Football Manager 2011,PC,1999,Shooter,Nintendo,0.78,0.28,0.07,0.02,1.16
1456,Jet Force Gemini,N64,1995,Racing,Sega,0.21,0.16,0.77,0.02,1.16
1457,Sega Rally Championship,SAT,1993,Platform,Capcom,0.57,0.08,0.5,0.01,1.16
1458,Mega Man X,SNES,2002,Role-Playing,Konami Digital Entertainment,0.84,0.27,0,0.05,1.16
1459,Yu-Gi-Oh! The Sacred Cards (American and Others sales),GBA,1997,Racing,Accolade,0.65,0.44,0,0.08,1.16
1460,Test Drive: Off Road,PS,2011,Action,LucasArts,0.66,0.38,0,0.12,1.16
1461,LEGO Star Wars III: The Clone Wars,X360,2010,Racing,Sega,0.42,0.6,0,0.13,1.16
1462,Sonic & SEGA All-Stars Racing,Wii,2005,Action,Eidos Interactive,0.83,0.28,0,0.05,1.16
1463,LEGO Star Wars: The Video Game,XB,2001,Role-Playing,Enix Corporation,0,0,1.15,0,1.15
1464,Dragon Quest Monsters 2: Cobi's Journey,GB,2001,Action,Midway Games,0.56,0.44,0,0.15,1.15
1465,Gauntlet: Dark Legacy,PS2,2004,Shooter,Empire Interactive,0.56,0.44,0,0.15,1.15
1466,Bad Boys: Miami Takedown,PS2,1980,Misc,Activision,1.07,0.07,0,0.01,1.15
1467,Kaboom!,2600,1986,Action,Hudson Soft,0,0,1.15,0,1.15
1468,Doraemon,NES,1995,Sports,ASCII Entertainment,0,0,1.15,0,1.15
1469,Derby Stallion III,SNES,1990,Puzzle,Nintendo,0.51,0.2,0.41,0.03,1.15
1470,Qix,GB,2010,Adventure,Warner Bros. Interactive Entertainment,0.7,0.33,0,0.11,1.15
1471,LEGO Harry Potter: Years 1-4,X360,2007,Role-Playing,Square Enix,0.47,0.02,0.62,0.04,1.15
1472,Final Fantasy IV,DS,2003,Misc,Nintendo,0.5,0.16,0.46,0.03,1.15
1473,Donkey Konga,GC,1993,Role-Playing,Enix Corporation,0,0,1.15,0,1.15
1474,Dragon Quest I & II,SNES,2003,Platform,THQ,0.56,0.44,0,0.15,1.15
1475,Tak and the Power of Juju,PS2,1998,Shooter,Success,0.64,0.43,0,0.07,1.15
1476,Asteroids,PS,1997,Puzzle,Compile,0,0,1.07,0.07,1.15
1477,Puyo Puyo Sun Ketteiban,PS,2008,Simulation,Sega,0,1.14,0,0.01,1.14
1478,Worldwide Soccer Manager 2009,PC,2010,Platform,Sega,0.58,0.44,0.01,0.12,1.14
1479,Sonic Colors,DS,2000,Action,Take-Two Interactive,0.64,0.43,0,0.07,1.14
1480,Action Bass,PS,2003,Action,Activision,0.44,0.34,0.25,0.11,1.14
1481,Tenchu: Wrath of Heaven,PS2,2005,Adventure,Sony Computer Entertainment,0.78,0.03,0.2,0.13,1.14
1482,Shadow of the Colossus,PS2,1998,Role-Playing,Square,0.25,0.17,0.65,0.07,1.14
1483,Brave Fencer Musashi,PS,2012,Sports,Konami Digital Entertainment,0.11,0.43,0.45,0.15,1.14
1484,Pro Evolution Soccer 2013,PS3,2005,Shooter,Electronic Arts,1.02,0.02,0.01,0.09,1.14
1485,Star Wars Battlefront II,PSP,N/A,Adventure,Unknown,0.55,0.36,0,0.23,1.14
1486,LEGO Batman: The Videogame,PSP,2005,Simulation,Konami Digital Entertainment,0.95,0.04,0,0.16,1.14
1487,Dance Dance Revolution Extreme 2,PS2,2011,Fighting,THQ,0.64,0.38,0,0.11,1.14
1488,WWE '12,X360,1998,Shooter,Acclaim Entertainment,0.9,0.23,0,0.02,1.14
1489,South Park,N64,1986,Action,Capcom,0.71,0.16,0.25,0.03,1.14
1490,Commando,NES,1990,Simulation,Nintendo,0.46,0.17,0.48,0.02,1.14
1491,Pilotwings,SNES,2000,Action,Capcom,0.41,0.23,0.47,0.03,1.14
1492,Resident Evil - Code: Veronica,DC,1991,Racing,Nintendo,0.58,0.37,0.15,0.04,1.14
1493,Super R.C. Pro-Am,GB,2003,Action,Electronic Arts,0.71,0.38,0,0.05,1.14
1494,The Lord of the Rings: The Return of the King,XB,2008,Misc,Disney Interactive Studios,0.49,0.52,0,0.13,1.14
1495,High School Musical 2: Work This Out!,DS,2008,Misc,Activision,0.92,0.12,0,0.09,1.14
1496,Guitar Hero: Aerosmith,X360,2005,Action,Eidos Interactive,0.82,0.3,0,0.02,1.14
1497,LEGO Star Wars: The Video Game,GBA,2005,Adventure,Take-Two Interactive,0,0.94,0,0.2,1.14
1498,Grand Theft Auto: The Trilogy,PS2,2013,Action,Square Enix,0.33,0.55,0.05,0.21,1.14
1499,Tomb Raider (2013),PS3,2001,Simulation,Atari,0.12,0.1,0.88,0.03,1.14
1500,Mobile Suit Gundam: Federation vs. Zeon,PS2,2004,Racing,Electronic Arts,0.7,0.39,0.01,0.03,1.14
1501,Need for Speed Underground 2,GC,2006,Racing,THQ,0.7,0.24,0,0.19,1.14
1502,Cars,PSP,2002,Simulation,Microsoft Game Studios,1.01,0.1,0,0.03,1.13
1503,MechAssault,XB,1999,Sports,ASCII Entertainment,0,0,1.06,0.07,1.13
1504,Derby Stallion 99,PS,2006,Racing,THQ,0.81,0.3,0,0.02,1.13
1505,Cars,GBA,2005,Racing,Electronic Arts,0.95,0.07,0.02,0.09,1.13
1506,Need for Speed: Most Wanted,X360,2004,Shooter,Ubisoft,0.99,0.12,0,0.02,1.13
1507,Tom Clancy's Rainbow Six 3: Black Arrow,XB,1983,Platform,Nintendo,0.23,0.05,0.84,0.01,1.13
1508,Donkey Kong,NES,2010,Fighting,Namco Bandai Games,0.39,0.42,0.15,0.17,1.13
1509,Naruto Shippuden: Ultimate Ninja Storm 2,PS3,2011,Shooter,Square Enix,0.39,0.48,0.07,0.19,1.13
1510,Deus Ex: Human Revolution,PS3,1998,Misc,Sony Computer Entertainment,0.63,0.43,0,0.07,1.13
1511,Jampack Winter '98,PS,2006,Action,Konami Digital Entertainment,0.36,0.23,0.38,0.16,1.13
1512,Metal Gear Solid: Portable Ops,PSP,2005,Role-Playing,Nintendo,0.81,0.3,0,0.02,1.13
1513,Pokémon Mystery Dungeon: Red Rescue Team (US weekly sales),GBA,2007,Misc,Atari,0.98,0,0.06,0.08,1.13
1514,Namco Museum DS,DS,2010,Sports,Electronic Arts,0.26,0.59,0.07,0.2,1.12
1515,2010 FIFA World Cup South Africa,PS3,2008,Shooter,Take-Two Interactive,0.62,0.34,0.01,0.16,1.12
1516,BioShock,PS3,1982,Shooter,Atari,1.05,0.06,0,0.01,1.12
1517,Moon Patrol,2600,2013,Shooter,Take-Two Interactive,0.72,0.29,0.01,0.11,1.12
1518,BioShock Infinite,X360,2001,Racing,Activision,0.55,0.43,0,0.14,1.12
1519,Supercar Street Challenge,PS2,1996,Simulation,Nintendo,0.56,0.24,0.3,0.02,1.12
1520,Pilotwings 64,N64,2005,Shooter,Activision,0.66,0.4,0,0.05,1.12
1521,Call Of Duty 2: Big Red One,XB,2008,Shooter,Electronic Arts,0.71,0.24,0.02,0.14,1.12
1522,Army of Two,PS3,1992,Puzzle,Nintendo,0.41,0.06,0.63,0.02,1.12
1523,Yoshi's Cookie,NES,2009,Fighting,THQ,0.47,0.45,0.01,0.19,1.12
1524,WWE SmackDown vs. Raw 2010,PS3,2009,Misc,Activision,0.28,0.68,0,0.16,1.12
1525,Guitar Hero 5,PS2,2007,Platform,Sega,0.51,0.47,0.01,0.12,1.12
1526,Sonic Rush Adventure,DS,2011,Shooter,Electronic Arts,0.37,0.49,0.06,0.19,1.12
1527,Crysis 2,PS3,2004,Action,Activision,0.82,0.26,0,0.04,1.12
1528,Spider-Man 2,XB,2007,Shooter,Electronic Arts,0.22,0.64,0.03,0.23,1.11
1529,Medal of Honor: Airborne,PS3,2003,Shooter,Microsoft Game Studios,0.85,0.23,0,0.04,1.11
1530,Counter-Strike,XB,2007,Sports,Russel,0,1.11,0,0,1.11
1531,Worldwide Soccer Manager 2008,PC,2007,Action,Activision,0.63,0.37,0,0.11,1.11
1532,Transformers: The Game,PS2,2006,Platform,Sega,0.38,0.5,0.04,0.2,1.11
1533,Sonic the Hedgehog,PS3,2007,Misc,RedOctane,0.92,0.04,0,0.15,1.11
1534,Guitar Hero Encore: Rocks The 80s,PS2,2008,Adventure,LucasArts,0.38,0.46,0,0.28,1.11
1535,LEGO Indiana Jones: The Original Adventures,PSP,N/A,Misc,Unknown,0.71,0.3,0,0.11,1.11
1536,Rock Band,PS2,2005,Adventure,Ubisoft,0.68,0.38,0,0.05,1.11
1537,Tom Clancy's Splinter Cell: Chaos Theory,XB,1983,Platform,Nintendo,0.33,0.07,0.7,0.01,1.11
1538,Donkey Kong Jr.,NES,1995,Role-Playing,Sony Computer Entertainment,0,0,1.1,0.01,1.11
1539,Arc the Lad,PS,1994,Sports,Acclaim Entertainment,0.95,0.14,0,0.03,1.11
1540,NBA Jam Tournament Edition,GEN,2008,Platform,Nintendo,0.56,0.29,0.15,0.1,1.11
1541,Wario Land: Shake It!,Wii,1999,Role-Playing,Square,0.18,0.13,0.73,0.07,1.11
1542,Legend of Mana,PS,2008,Role-Playing,Sega,0.64,0.13,0.24,0.1,1.11
1543,Valkyria Chronicles,PS3,2009,Sports,Electronic Arts,0.15,0.65,0.01,0.3,1.1
1544,FIFA Soccer 10,PSP,1981,Shooter,Activision,1.03,0.06,0,0.01,1.1
1545,Megamania,2600,1982,Platform,Atari,1.03,0.06,0,0.01,1.1
1546,Jungle Hunt,2600,1997,Sports,Electronic Arts,0.61,0.42,0,0.07,1.1
1547,Triple Play 98,PS,2009,Adventure,Activision,0.59,0.4,0,0.11,1.1
1548,LEGO Indiana Jones 2: The Adventure Continues,DS,2007,Role-Playing,Square Enix,0.42,0.22,0.3,0.15,1.1
1549,Final Fantasy Tactics: The War of the Lions,PSP,2007,Shooter,Electronic Arts,0.47,0.37,0.02,0.24,1.1
1550,Medal of Honor Heroes 2,PSP,1998,Racing,Nintendo,0.45,0.33,0.29,0.03,1.1
1551,F-Zero X,N64,1989,Role-Playing,Namco Bandai Games,0,0,1.1,0,1.1
1552,Famicom Jump: Eiyuu Retsuden,NES,1984,Puzzle,Hudson Soft,0,0,1.1,0,1.1
1553,Lode Runner,NES,1989,Role-Playing,Square,0,0,1.1,0,1.1
1554,The Final Fantasy Legend,GB,1983,Platform,Nintendo,0.51,0.12,0.45,0.02,1.1
1555,Popeye,NES,1999,Strategy,Konami Digital Entertainment,0,0,1.1,0,1.1
1556,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,GB,2004,Puzzle,Ubisoft,0.52,0.35,0,0.23,1.1
1557,Lumines: Puzzle Fusion,PSP,2001,Sports,Electronic Arts,0.52,0.4,0.04,0.13,1.1
1558,NBA Live 2001,PS2,2006,Misc,Sony Computer Entertainment,0.12,0.75,0,0.23,1.1
1559,SingStar Legends,PS2,2006,Misc,Sony Computer Entertainment,0,0.84,0,0.25,1.1
1560,SingStar Rocks!,PS2,2003,Role-Playing,Nintendo,0.54,0.21,0.31,0.04,1.1
1561,Tales of Symphonia,GC,2011,Racing,Codemasters,0.09,0.67,0.11,0.23,1.1
1562,F1 2011,PS3,2012,Role-Playing,Electronic Arts,0.5,0.4,0.03,0.17,1.1
1563,Mass Effect 3,PS3,1998,Role-Playing,Sony Computer Entertainment,0.26,0.1,0.72,0.02,1.1
1564,Star Ocean: The Second Story,PS,2005,Shooter,Sony Computer Entertainment,1.01,0,0.01,0.07,1.1
1565,SOCOM: U.S. Navy SEALs Fireteam Bravo,PSP,2008,Action,Electronic Arts,0.48,0.48,0.01,0.12,1.09
1566,Mirror's Edge,X360,2006,Adventure,Sega,0.05,0.16,0.84,0.04,1.09
1567,Yakuza 2,PS2,2013,Action,Sony Computer Entertainment,0.69,0.24,0.03,0.14,1.09
1568,God of War: Ascension,PS3,2003,Role-Playing,Atari,0.78,0.29,0,0.02,1.09
1569,Dragon Ball Z: The Legacy of Goku II,GBA,2000,Sports,Sega,1.02,0.05,0,0.02,1.09
1570,NFL 2K1,DC,1998,Simulation,Konami Digital Entertainment,0,0,1.07,0.02,1.09
1571,BeatMania,PS,2007,Action,Eidos Interactive,0.55,0.3,0.09,0.15,1.09
1572,Ninja Gaiden Sigma,PS3,2003,Sports,Electronic Arts,1.02,0.02,0,0.05,1.09
1573,Madden NFL 2004,XB,2007,Sports,Sony Computer Entertainment,0.29,0.01,0.76,0.03,1.09
1574,Hot Shots Golf: Out of Bounds,PS3,2006,Action,Electronic Arts,0.89,0.03,0.01,0.15,1.09
1575,The Godfather,PS2,2002,Shooter,LucasArts,0.53,0.42,0,0.14,1.09
1576,Star Wars: Bounty Hunter,PS2,1997,Simulation,Taito,0,0,1.02,0.07,1.09
1577,Densha De Go!,PS,2008,Action,Electronic Arts,0.29,0.57,0.02,0.21,1.09
1578,Mirror's Edge,PS3,2007,Simulation,Ubisoft,0.46,0.51,0,0.12,1.09
1579,Petz Dogz 2,DS,1998,Sports,Midway Games,0.6,0.41,0,0.07,1.09
1580,NFL Blitz 2000,PS,2003,Racing,Electronic Arts,0.53,0.41,0,0.14,1.08
1581,NASCAR Thunder 2004,PS2,2002,Platform,THQ,0.53,0.41,0,0.14,1.08
1582,SpongeBob SquarePants: Revenge of the Flying Dutchman,PS2,2009,Strategy,Warner Bros. Interactive Entertainment,0.65,0.33,0,0.11,1.08
1583,LEGO Battles,DS,2007,Shooter,Activision,0,1.06,0,0.02,1.08
1584,Call of Duty 4: Modern Warfare,PC,2002,Sports,Agetec,0.53,0.41,0,0.14,1.08
1585,Fisherman's Bass Club,PS2,2004,Shooter,Activision,1.06,0.02,0,0,1.08
1586,Doom 3,PC,1982,Platform,Atari,1.01,0.06,0,0.01,1.08
1587,Joust,2600,2004,Shooter,Ubisoft,0.64,0.34,0,0.1,1.08
1588,Tom Clancy's Ghost Recon 2,PS2,2009,Platform,Ubisoft,0.23,0.71,0,0.14,1.08
1589,Rabbids Go Home,Wii,2008,Shooter,Electronic Arts,0.9,0.09,0,0.09,1.08
1590,NERF N-Strike,Wii,1998,Sports,Midway Games,0.6,0.41,0,0.07,1.08
1591,Ready 2 Rumble Boxing,PS,2003,Fighting,Atari,0.77,0.29,0,0.02,1.08
1592,Dragon Ball Z: Taiketsu,GBA,2002,Platform,Ubisoft,0.77,0.29,0,0.02,1.08
1593,Disney's Lilo & Stitch,GBA,2005,Shooter,Nintendo,0.68,0.18,0.19,0.03,1.08
1594,Star Fox: Assault,GC,2011,Strategy,Warner Bros. Interactive Entertainment,0.8,0.18,0,0.09,1.08
1595,LEGO Battles: Ninjago,DS,1999,Misc,Sony Computer Entertainment,0,0,1,0.07,1.07
1596,Doko Demo Issyo,PS,2006,Shooter,Activision,0.89,0.03,0,0.15,1.07
1597,Call of Duty 3,PS2,2011,Adventure,Nintendo,0.19,0.45,0.36,0.07,1.07
1598,Professor Layton and the Mask of Miracle,3DS,2009,Sports,Electronic Arts,0.73,0.25,0,0.1,1.07
1599,EA Sports Active: More Workouts,Wii,2005,Role-Playing,Activision,0.53,0.32,0.01,0.22,1.07
1600,Untold Legends: Brotherhood of the Blade,PSP,2006,Racing,Electronic Arts,0.46,0.41,0.03,0.18,1.07
1601,Need for Speed Carbon,PS3,2009,Action,Sega,0.39,0.32,0.21,0.14,1.07
1602,Bayonetta,PS3,1999,Sports,Eidos Interactive,0,0.98,0,0.09,1.07
1603,Championship Manager 99/00,PC,1994,Fighting,Sega,0.17,0.12,0.77,0.02,1.07
1604,Virtua Fighter,SAT,2009,Fighting,THQ,0.53,0.42,0,0.12,1.07
1605,WWE SmackDown vs. Raw 2010,PS2,2008,Simulation,Ubisoft,0.61,0.35,0,0.1,1.07
1606,Imagine: Babysitters,DS,1997,Sports,Electronic Arts,0.59,0.4,0,0.07,1.07
1607,NHL 99,PS,2008,Action,Activision,0.41,0.46,0.02,0.18,1.07
1608,007: Quantum of Solace,PS3,2005,Fighting,Namco Bandai Games,0.74,0.15,0.13,0.05,1.07
1609,SoulCalibur III,PS2,2007,Sports,Konami Digital Entertainment,0.08,0.9,0.04,0.05,1.07
1610,Pro Evolution Soccer 2008,X360,1995,Racing,Namco Bandai Games,0.17,0.12,0.71,0.07,1.07
1611,Ridge Racer Revolution,PS,2011,Strategy,Ubisoft,0,0.85,0,0.21,1.07
1612,Anno 2070,PC,1999,Racing,Electronic Arts,0.59,0.4,0,0.07,1.07
1613,Hot Wheels Turbo Racing,PS,1998,Sports,Electronic Arts,0.59,0.4,0,0.07,1.06
1614,NCAA Football 99,PS,2005,Sports,Sony Computer Entertainment,0.1,0.62,0,0.34,1.06
1615,World Tour Soccer,PSP,2006,Fighting,Midway Games,0.88,0.04,0,0.14,1.06
1616,Mortal Kombat: Armageddon,PS2,2002,Racing,Electronic Arts,0.52,0.41,0,0.14,1.06
1617,Freekstyle,PS2,2008,Simulation,Ubisoft,0.64,0.32,0,0.1,1.06
1618,Imagine: Fashion Designer New York,DS,1998,Misc,D3Publisher,0,0,0.99,0.07,1.06
1619,Simple 1500 Series Vol. 1: The Mahjong,PS,2005,Sports,Electronic Arts,0.52,0.41,0,0.14,1.06
1620,NBA Street V3,PS2,2010,Shooter,Microsoft Game Studios,0.6,0.34,0.02,0.1,1.06
1621,Crackdown 2,X360,1999,Strategy,Microprose,0.18,0.81,0,0.08,1.06
1622,Worms Armageddon,PS,2003,Action,Universal Interactive,0.52,0.41,0,0.14,1.06
1623,Hulk,PS2,1998,Sports,Midway Games,1.02,0.04,0,0.01,1.06
1624,NFL Blitz,N64,1997,Sports,Acclaim Entertainment,1.01,0.05,0,0.01,1.06
1625,NFL Quarterback Club 98,N64,1998,Action,Eidos Interactive,0.41,0.59,0,0.06,1.06
1626,Tomb Raider: The Last Revelation,PC,2010,Simulation,Electronic Arts,0.43,0.43,0.02,0.18,1.06
1627,The Sims 3,PS3,2009,Misc,Activision,0.61,0.35,0,0.11,1.06
1628,Guitar Hero 5,X360,2004,Action,Activision,0.76,0.28,0,0.02,1.06
1629,Spider-Man 2,GBA,2002,Racing,Conspiracy Entertainment,0.52,0.4,0,0.14,1.06
1630,Seek and Destroy,PS2,2010,Sports,Electronic Arts,0.25,0.67,0,0.13,1.05
1631,FIFA Soccer 11,Wii,2010,Sports,Electronic Arts,0.11,0.61,0.01,0.32,1.05
1632,FIFA Soccer 11,PSP,1981,Shooter,Imagic,0.99,0.05,0,0.01,1.05
1633,Cosmic Ark,2600,2005,Misc,Sony Computer Entertainment,0.73,0.17,0,0.15,1.05
1634,Namco Museum Battle Collection,PSP,2006,Action,Electronic Arts,0.95,0.02,0,0.08,1.05
1635,LEGO Star Wars II: The Original Trilogy,DS,1980,Misc,Atari,0.99,0.05,0,0.01,1.05
1636,Defender,2600,1996,Role-Playing,Sony Computer Entertainment,0,0,0.92,0.13,1.05
1637,Arc the Lad II,PS,1996,Sports,ASCII Entertainment,0,0,1.04,0.01,1.05
1638,Derby Stallion 96,SNES,1986,Platform,Hudson Soft,0,0,1.05,0,1.05
1639,Adventure Island,NES,1985,Fighting,Namco Bandai Games,0,0,1.05,0,1.05
1640,Tag Team Match M.U.S.C.L.E.,NES,2009,Adventure,Sega,0.18,0.18,0.62,0.07,1.05
1641,Yakuza 3,PS3,2002,Sports,Sega,0.51,0.4,0,0.13,1.05
1642,NBA 2K3,PS2,2001,Racing,Electronic Arts,0.78,0.26,0,0.01,1.05
1643,The Simpsons: Road Rage,XB,2000,Sports,Acclaim Entertainment,0.91,0.11,0,0.03,1.05
1644,Dave Mirra Freestyle BMX,PS,2005,Racing,Microsoft Game Studios,0.52,0.51,0,0.02,1.05
1645,Forza Motorsport,XB,1998,Simulation,Sony Computer Entertainment,0.19,0.13,0.66,0.07,1.05
1646,Monster Rancher 2,PS,2012,Action,Nintendo,0.4,0.24,0.35,0.06,1.05
1647,Kid Icarus: Uprising,3DS,2003,Sports,Electronic Arts,0.51,0.4,0,0.13,1.04
1648,MVP Baseball 2003,PS2,N/A,Action,Eidos Interactive,0.58,0.4,0,0.07,1.04
1649,Legacy of Kain: Soul Reaver,PS,2007,Shooter,Electronic Arts,0.42,0.5,0.01,0.12,1.04
1650,Medal of Honor: Airborne,X360,2008,Simulation,Electronic Arts,0.65,0.28,0,0.1,1.04
1651,Spore Creatures,DS,2001,Role-Playing,Vivendi Games,1.03,0.01,0,0,1.04
1652,Diablo II: Lord of Destruction,PC,1997,Role-Playing,Namco Bandai Games,0.09,0.06,0.83,0.07,1.04
1653,Tales of Destiny,PS,2011,Fighting,THQ,0.46,0.39,0.02,0.17,1.04
1654,WWE '12,PS3,2009,Sports,Electronic Arts,0.8,0.15,0.01,0.09,1.04
1655,Skate 2,X360,2000,Racing,Acclaim Entertainment,0.58,0.39,0,0.07,1.04
1656,ATV: Quad Power Racing,PS,1996,Platform,Virgin Interactive,0.45,0.3,0.22,0.07,1.04
1657,Mega Man X4,PS,2003,Fighting,Nintendo,0.44,0.12,0.45,0.03,1.04
1658,Naruto: Clash of Ninja 2,GC,2010,Action,Electronic Arts,0.6,0.28,0.04,0.13,1.04
1659,Dante's Inferno,PS3,2006,Simulation,Konami Digital Entertainment,0.87,0.03,0,0.14,1.04
1660,Dance Dance Revolution SuperNOVA,PS2,2009,Sports,THQ,0.84,0.11,0,0.09,1.04
1661,The Biggest Loser,Wii,1998,Racing,Acclaim Entertainment,0.91,0.1,0,0.03,1.04
1662,Jeremy McGrath Supercross 98,PS,2001,Racing,Nintendo,0.39,0.16,0.37,0.12,1.04
1663,F-Zero: Maximum Velocity,GBA,1997,Puzzle,Hudson Soft,0.5,0.2,0.31,0.03,1.04
1664,Bomberman 64,N64,2008,Adventure,Activision,0.58,0.31,0,0.15,1.04
1665,LEGO Batman: The Videogame,PS3,2005,Racing,Electronic Arts,0.53,0.46,0,0.05,1.04
1666,Need for Speed: Most Wanted,XB,2007,Simulation,Ubisoft,0.45,0.48,0,0.11,1.04
1667,Imagine: Animal Doctor,DS,2012,Action,Namco Bandai Games,0,0.13,0.86,0.04,1.04
1668,One Piece Pirate Musou,PS3,2007,Fighting,Sega,0.28,0.49,0.08,0.19,1.04
1669,Virtua Fighter 5,PS3,2006,Shooter,Sony Computer Entertainment,0.8,0.11,0,0.13,1.04
1670,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,PSP,2008,Sports,Sega,0.27,0.64,0,0.13,1.03
1671,Sega Superstars Tennis,Wii,2005,Racing,THQ,0.86,0.03,0,0.14,1.03
1672,MX vs. ATV Unleashed,PS2,2007,Racing,Electronic Arts,0.49,0.43,0,0.11,1.03
1673,Need for Speed: ProStreet,Wii,2009,Misc,MTV Games,0.63,0.26,0,0.14,1.03
1674,The Beatles: Rock Band,PS3,2009,Sports,Electronic Arts,0.59,0.34,0,0.1,1.03
1675,Tiger Woods PGA Tour 10,Wii,2012,Shooter,Capcom,0.41,0.18,0.36,0.09,1.03
1676,Resident Evil: Operation Raccoon City,PS3,2003,Sports,Electronic Arts,0.5,0.39,0,0.13,1.03
1677,NCAA March Madness 2004,PS2,1985,Puzzle,Hudson Soft,0.18,0,0.85,0,1.03
1678,Bomberman,NES,N/A,Platform,Nintendo,0.68,0.31,0,0.04,1.03
1679,Donkey Kong Land III,GB,2010,Shooter,City Interactive,0.44,0.47,0,0.11,1.03
1680,Sniper: Ghost Warrior,X360,1998,Fighting,Capcom,0.38,0.12,0.51,0.02,1.03
1681,Street Fighter Alpha 3,PS,2007,Platform,Take-Two Interactive,0.95,0,0,0.08,1.03
1682,Dora the Explorer: Dora Saves the Mermaids,DS,2011,Action,Nintendo,0.42,0.21,0.34,0.06,1.03
1683,Pokémon Rumble Blast,3DS,2012,Racing,Electronic Arts,0.35,0.55,0,0.12,1.03
1684,Need for Speed: Most Wanted - A Criterion Game,X360,2008,Racing,Codemasters,0.3,0.51,0.03,0.18,1.03
1685,GRID,PS3,2009,Adventure,Electronic Arts,0.51,0.4,0,0.11,1.03
1686,MySims Agents,DS,1996,Action,Eidos Interactive,0.96,0.07,0,0,1.02
1687,Tomb Raider,PC,2004,Platform,Activision,0.73,0.26,0.01,0.03,1.02
1688,Shrek 2,GC,1993,Action,Capcom,0.39,0.12,0.49,0.02,1.02
1689,Final Fight 2,SNES,1997,Action,Electronic Arts,0.57,0.39,0,0.07,1.02
1690,The Lost World: Jurassic Park,PS,2007,Simulation,Sony Computer Entertainment,0.47,0.38,0,0.17,1.02
1691,Warhawk,PS3,2012,Action,THQ,0.56,0.35,0,0.1,1.02
1692,WWE '13,X360,2007,Adventure,Nintendo,0.41,0.43,0.09,0.09,1.02
1693,Endless Ocean,Wii,2006,Sports,Electronic Arts,0.97,0.03,0,0.03,1.02
1694,Madden NFL 07,XB,2007,Sports,Electronic Arts,0.31,0.58,0.01,0.11,1.02
1695,FIFA Soccer 08,Wii,2004,Adventure,Electronic Arts,0.5,0.39,0,0.13,1.02
1696,Harry Potter and the Prisoner of Azkaban,PS2,1998,Puzzle,Hasbro Interactive,0.56,0.38,0,0.07,1.01
1697,Pong: The Next Level,PS,2009,Simulation,Sony Computer Entertainment,0.28,0.59,0.04,0.1,1.01
1698,EyePet,PS3,2007,Racing,Codemasters,0.15,0.64,0,0.22,1.01
1699,DiRT,PS3,2009,Misc,Activision,0.49,0.36,0,0.16,1.01
1700,Guitar Hero 5,PS3,2008,Shooter,Electronic Arts,0.63,0.28,0.01,0.1,1.01
1701,Mercenaries 2: World in Flames,X360,2007,Simulation,Ubisoft,0.51,0.4,0,0.11,1.01
1702,Petz: Catz 2,DS,2003,Sports,Eidos Interactive,0,0.93,0,0.08,1.01
1703,Championship Manager 3,PC,1995,Sports,Acclaim Entertainment,0.87,0.12,0,0.02,1.01
1704,NBA Jam Tournament Edition,SNES,2010,Fighting,THQ,0.41,0.42,0.01,0.17,1.01
1705,WWE SmackDown vs. Raw 2011,PS3,2011,Fighting,Capcom,0.74,0.15,0.03,0.09,1.01
1706,Marvel vs. Capcom 3: Fate of Two Worlds,X360,2010,Racing,Sony Computer Entertainment,0.45,0.35,0.06,0.15,1.01
1707,ModNation Racers,PS3,2006,Misc,Sega,0,0,1.01,0,1.01
1708,Oshare Majo Love and Berry: DS Collection,DS,2007,Sports,Electronic Arts,0.92,0.01,0,0.08,1.01
1709,Tiger Woods PGA Tour 08,Wii,2008,Action,Warner Bros. Interactive Entertainment,0.44,0.46,0,0.11,1.01
1710,Guinness World Records: The Videogame,Wii,1997,Simulation,Tecmo Koei,0.12,0.08,0.74,0.07,1.01
1711,Monster Rancher,PS,2007,Action,Electronic Arts,0.21,0.51,0,0.29,1.01
1712,The Simpsons Game,PSP,2008,Adventure,Eidos Interactive,0.5,0.39,0.01,0.11,1.01
