Month,Year,Waist,d,Height ,Weight,BMI,Waist/Hip
July,1972,25,35,66,117,18.8822314,0.714285714
August,1972,23,34.5,62,105,19.20265349,0.666666667
September,1972,25,39,73,140,18.46875586,0.641025641
October,1972,22,37,68,125,19.004109,0.594594595
November,1972,26,36,66,110,17.75252525,0.722222222
December,1972,23,36,64,115,19.73754883,0.638888889
January,1973,22,36,64,108,18.53613281,0.611111111
February,1973,22,34,65,103,17.13822485,0.647058824
March,1973,23,36,65.5,113,18.51617039,0.638888889
April,1973,24,35,68,125,19.004109,0.685714286
May,1973,23,35,64,105,18.02124023,0.657142857
June,1973,23,35,62,103,18.83688866,0.657142857
July,1973,23,35,66,110,17.75252525,0.657142857
August,1973,23,35,67,120,18.79260414,0.657142857
September,1973,24,36,68,125,19.004109,0.666666667
October,1973,24,36,67,125,19.57562932,0.666666667
November,1973,24.5,36,62.5,108,19.436544,0.680555556
December,1973,23,36.5,68,125,19.004109,0.630136986
January,1974,23,35,68,118,17.93987889,0.657142857
February,1974,24,34,65,110,18.30295858,0.705882353
March,1974,24,36,63,112,19.8377425,0.666666667
April,1974,25,36,68.5,125,18.72768927,0.694444444
May,1974,24,36,67,130,20.35865449,0.666666667
June,1974,24,34,66,114,18.39807163,0.705882353
July,1974,22,35,66,115,18.55945822,0.628571429
August,1974,24,NOT LISTED,67,122,19.10581421,
September,1974,23,35,65.5,112,18.35231047,0.657142857
October,1974,24,36,67.5,123,18.978107,0.666666667
November,1974,24,35,69.5,120,17.46493453,0.685714286
December,1974,26,37.5,70,143,20.51612245,0.693333333
January,1975,22,35,67,120,18.79260414,0.628571429
February,1975,24,36,65,110,18.30295858,0.666666667
March,1975,24,36,66.5,116,18.44038668,0.666666667
April,1975,23,35,66,115,18.55945822,0.657142857
May,1975,23,34,66,105,16.94559229,0.676470588
June,1975,23,36.5,66,119,19.20500459,0.630136986
July,1975,22.5,35,63,108,19.1292517,0.642857143
August,1975,24,35,68,125,19.004109,0.685714286
September,1975,24,34,64.5,110,18.58782525,0.705882353
October,1975,23,34,67,103,16.13031856,0.676470588
November,1975,24,36,66,125,20.17332415,0.666666667
December,1975,24,35,66,110,17.75252525,0.685714286
January,1976,25,36,67,127,19.88883939,0.694444444
February,1976,25,37,65,120,19.96686391,0.675675676
March,1976,25,35,65.5,110,18.02459064,0.714285714
April,1976,25,36,65.5,120,19.66318979,0.694444444
May,1976,24,37,68,125,19.004109,0.648648649
June,1976,24,34,66,118,19.043618,0.705882353
July,1976,22,34.5,64.5,102,17.23598341,0.637681159
August,1976,24,35,66,100,16.13865932,0.685714286
September,1976,23,34,63,105,18.5978836,0.676470588
October,1976,25,36,68,120,18.24394464,0.694444444
November,1976,23,35,65,115,19.13491124,0.657142857
December,1976,23,35,68,118,17.93987889,0.657142857
January,1977,24,37,68,135,20.52443772,0.648648649
March,1977,23,35,65,112,18.63573964,0.657142857
April,1977,24,35,68,120,18.24394464,0.685714286
