"link","frequency"
"http://t.co/2xOWplGWJF”.",1
"http://t.co/2yEdtjurTY",1
"http://t.co/2z…",1
"http://t.co/2Z1KBKPAWR",1
"http://t.co/2zjN3FImTY",1
"http://t.co/31JEvS0AQf",2
"http://t.co/31XTSZAyq6”",5
"http://t.co/32r5qNkQh1”",1
"http://t.co/335rywwc0X""",1
"http://t.co/33Dzevjvja",7
"http://t.co/33zgET56QF""",1
"http://t.co/34Ts9atoZc",3
"http://t.co/35N4GSc6jD""",1
"http://t.co/35oj…",7
"http://t.co/35ojVaEXFm”",1
"http://t.co/362OftqQ2X”",1
"http://t.co/36NgESMLoJ",1
"http://t.co/37hNSXnd2c",1
"http://t.co/37x3njKDeE",1
"http://t.co/38wCA728Ov",2
"http://t.co/39OpwP9cfS",2
"http://t.co/3aGpzxuv1Y",1
"http://t.co/3aJq83Wf3F",3
"http://t.co/3b8zScaDzJ",2
"http://t.co/3bHMTxgdS7""",1
"http://t.co/3by1XudEtg",1
"http://t.co/3bYKlrsJhr",1
"http://t.co/3ByV3fNDlq",1
"http://t.co/3bZWmxgKip",1
"http://t.co/3ElwdcA0bj",3
"http://t.co/3g76YGMP8D",1
"http://t.co/3Hi0HcVR3t",41
"http://t.co/3hUCDSMshY",1
"http://t.co/3IsAZSk9o7",1
"http://t.co/3IXoyCoIGZ”",1
"http://t.co/3J00XxjTaH",1
"http://t.co/3JqvBqfw2m",2
"http://t.co/3jxC9PsgEW",1
"http://t.co/3k9zNokORq”",1
"http://t.co/3KhbASl656",1
"http://t.co/3lSZD801xU",1
"http://t.co/3nIfDIeVZN",1
"http://t.co/3OtHaicMuj",1
"http://t.co/3phL9vHW0g”",1
"http://t.co/3QWAd4MJJa",1
"http://t.co/3Ro0bvmfWs",1
"http://t.co/3sx1QfU76e""",1
"http://t.co/3UKg2CyGPx",1
"http://t.co/3VdvtzlFRx",1
"http://t.co/3wFlSN0hjm",1
"http://t.co/3wIGA30o5f",1
"http://t.co/3XEoQRMMTI",1
"http://t.co/3YRJn704PS""",1
"http://t.co/3YzHaDMiJt",1
"http://t.co/3z47nnZlJv",1
"http://t.co/3zbcMzv35D""",1
"http://t.co/3zcgPhNFVX",4
"http://t.co/3zcgPhNFVX.",8
"http://t.co/40rbHqAhh6",1
"http://t.co/41MUU4aSzy",2
"http://t.co/4204IvYJe4",1
"http://t.co/428gbWGgdr",2
"http://t.co/42HfXaKNJC",1
"http://t.co/42HS85osji",1
"http://t.co/44moTw3MLU”",1
"http://t.co/46PKaSHkcC",1
"http://t.co/4aH8V3xz1d",39
"http://t.co/4ASDCY9l",72
