"txt","person","inDegree","outDegree","betweenness","totalDegree","timeperiod","timeperiodNum"
NA,"spastorino","14","9","258.017933302485","23","all-fixed.csv","1"
NA,"spohlenz","10","18","137.071832396459","28","all-fixed.csv","1"
NA,"sr3d","0","1","0","1","all-fixed.csv","1"
NA,"tarikjn","1","1","0","2","all-fixed.csv","1"
NA,"tenderlove","8","3","462.8129527332","11","all-fixed.csv","1"
NA,"Tho85","16","4","455.21403155688","20","all-fixed.csv","1"
NA,"tiegz","0","3","0","3","all-fixed.csv","1"
NA,"TildeWill","1","0","0","1","all-fixed.csv","1"
NA,"travisp","0","1","0","1","all-fixed.csv","1"
NA,"unimatrixZxero","0","1","0","1","all-fixed.csv","1"
NA,"vijaydev","5","7","88.4707246450998","12","all-fixed.csv","1"
NA,"yaroslav","0","1","0","1","all-fixed.csv","1"
NA,"zenprogrammer","25","17","454.254462386522","42","all-fixed.csv","1"
"35","bestie","3","3","0","6","all-fixed.csv","2"
NA,"bobbytables","2","0","0","2","all-fixed.csv","2"
NA,"bogdan","9","0","0","9","all-fixed.csv","2"
NA,"dasch","1","6","12","7","all-fixed.csv","2"
NA,"davidknezic","0","1","0","1","all-fixed.csv","2"
NA,"dbenhur","2","3","0","5","all-fixed.csv","2"
NA,"dmitriy-kiriyenko","1","3","0","4","all-fixed.csv","2"
NA,"dmitry","0","1","0","1","all-fixed.csv","2"
NA,"eparreno","1","0","0","1","all-fixed.csv","2"
NA,"fxn","2","2","23.5","4","all-fixed.csv","2"
NA,"gmcnaughton","0","1","0","1","all-fixed.csv","2"
NA,"guilleiguaran","9","5","75","14","all-fixed.csv","2"
NA,"homakov","0","3","0","3","all-fixed.csv","2"
NA,"isaacsanders","2","5","92","7","all-fixed.csv","2"
NA,"jacobo","7","2","21","9","all-fixed.csv","2"
NA,"jeremy","4","3","8.5","7","all-fixed.csv","2"
NA,"joevandyk","5","4","46","9","all-fixed.csv","2"
NA,"jonleighton","5","4","27","9","all-fixed.csv","2"
NA,"josevalim","9","14","156","23","all-fixed.csv","2"
NA,"jwulff","0","2","0","2","all-fixed.csv","2"
NA,"kennyj","1","1","0","2","all-fixed.csv","2"
NA,"larzconwell","1","4","0","5","all-fixed.csv","2"
NA,"lawrencepit","8","5","39","13","all-fixed.csv","2"
NA,"monde","1","1","0","2","all-fixed.csv","2"
NA,"oggy","3","0","0","3","all-fixed.csv","2"
NA,"rafaelfranca","0","1","0","1","all-fixed.csv","2"
NA,"seanwalbran","1","1","0","2","all-fixed.csv","2"
NA,"sobrinho","0","2","0","2","all-fixed.csv","2"
NA,"spastorino","1","0","0","1","all-fixed.csv","2"
NA,"steveklabnik","2","2","0","4","all-fixed.csv","2"
NA,"tenderlove","3","0","0","3","all-fixed.csv","2"
NA,"thomasfedb","0","1","0","1","all-fixed.csv","2"
NA,"vijaydev","1","3","0","4","all-fixed.csv","2"
NA,"vjt","0","1","0","1","all-fixed.csv","2"
NA,"willbryant","2","2","24","4","all-fixed.csv","2"
"43","amatsuda","19","8","370.726298701299","27","all-fixed.csv","3"
NA,"bfolkens","2","0","0","2","all-fixed.csv","3"
NA,"blakeeb","2","1","24","3","all-fixed.csv","3"
NA,"bogdan","2","2","0","4","all-fixed.csv","3"
NA,"brentsowers1","0","2","0","2","all-fixed.csv","3"
NA,"carlosantoniodasilva","1","1","0","2","all-fixed.csv","3"
NA,"chriseppstein","6","7","0","13","all-fixed.csv","3"
NA,"danielvlopes","1","2","0","3","all-fixed.csv","3"
NA,"derekprior","5","3","72","8","all-fixed.csv","3"
NA,"dvyjones","2","2","23","4","all-fixed.csv","3"
NA,"fxn","5","4","130.2","9","all-fixed.csv","3"
NA,"gregolsen","7","2","74","9","all-fixed.csv","3"
NA,"guilleiguaran","16","6","217.056060606061","22","all-fixed.csv","3"
NA,"isaacsanders","0","1","0","1","all-fixed.csv","3"
NA,"jdelStrother","13","11","122","24","all-fixed.csv","3"
NA,"jeremy","2","5","84","7","all-fixed.csv","3"
NA,"jfirebaugh","0","1","0","1","all-fixed.csv","3"
NA,"joevandyk","1","2","0","3","all-fixed.csv","3"
NA,"jonleighton","5","10","126.5","15","all-fixed.csv","3"
NA,"josevalim","18","26","521.141017316017","44","all-fixed.csv","3"
NA,"jrochkind","1","1","0","2","all-fixed.csv","3"
NA,"kjohnston","0","1","0","1","all-fixed.csv","3"
NA,"krainboltgreene","7","4","114.087337662338","11","all-fixed.csv","3"
NA,"lest","0","1","0","1","all-fixed.csv","3"
NA,"mkdynamic","0","1","0","1","all-fixed.csv","3"
NA,"nashby","4","4","55.3954545454545","8","all-fixed.csv","3"
NA,"parndt","1","0","0","1","all-fixed.csv","3"
NA,"paulschreiber","0","1","0","1","all-fixed.csv","3"
NA,"qoobaa","0","1","0","1","all-fixed.csv","3"
NA,"rafaelfranca","0","1","0","1","all-fixed.csv","3"
NA,"rapind","0","1","0","1","all-fixed.csv","3"
NA,"robgleeson","1","1","0","2","all-fixed.csv","3"
NA,"ryanlecompte","4","1","24","5","all-fixed.csv","3"
NA,"spastorino","0","1","0","1","all-fixed.csv","3"
NA,"splattael","2","2","0","4","all-fixed.csv","3"
NA,"stevenh512","0","1","0","1","all-fixed.csv","3"
NA,"taelor","0","1","0","1","all-fixed.csv","3"
NA,"taq","0","1","0","1","all-fixed.csv","3"
NA,"tenderlove","4","3","88.05","7","all-fixed.csv","3"
NA,"vijaydev","6","8","182.843831168831","14","all-fixed.csv","3"
NA,"wsouto","0","3","0","3","all-fixed.csv","3"
NA,"wxianfeng","0","1","0","1","all-fixed.csv","3"
NA,"wycats","0","2","0","2","all-fixed.csv","3"
"47","alexeymuranov","17","23","227.11268722119","40","all-fixed.csv","4"
NA,"amatsuda","3","0","0","3","all-fixed.csv","4"
NA,"Antiarchitect","14","4","218.621267238509","18","all-fixed.csv","4"
NA,"arunagw","10","11","56.1373514466924","21","all-fixed.csv","4"
NA,"Bazai","0","1","0","1","all-fixed.csv","4"
NA,"benmmurphy","10","9","217","19","all-fixed.csv","4"
NA,"bogdan","2","0","0","2","all-fixed.csv","4"
NA,"borisd","3","0","0","3","all-fixed.csv","4"
NA,"carlosantoniodasilva","2","5","48.0277951933124","7","all-fixed.csv","4"
NA,"carlosramireziii","0","1","0","1","all-fixed.csv","4"
NA,"drogus","5","8","106.577460517765","13","all-fixed.csv","4"
NA,"dvandersluis","2","3","0","5","all-fixed.csv","4"
NA,"dvyjones","2","2","0","4","all-fixed.csv","4"
NA,"egilburg","0","2","0","2","all-fixed.csv","4"
NA,"freegenie","1","1","0","2","all-fixed.csv","4"
NA,"fxn","4","1","0","5","all-fixed.csv","4"
NA,"gazay","3","2","100","5","all-fixed.csv","4"
NA,"guilleiguaran","7","10","191.646643717728","17","all-fixed.csv","4"
NA,"isaacsanders","2","5","53.6703296703297","7","all-fixed.csv","4"
NA,"jcoleman","1","0","0","1","all-fixed.csv","4"
NA,"jdelStrother","4","0","0","4","all-fixed.csv","4"
NA,"jeremy","1","2","37.5","3","all-fixed.csv","4"
NA,"jonleighton","17","5","1.42452161587527","22","all-fixed.csv","4"
NA,"josevalim","20","25","545.253638599169","45","all-fixed.csv","4"
NA,"juwalter","1","1","0","2","all-fixed.csv","4"
NA,"kevinzen","0","1","0","1","all-fixed.csv","4"
NA,"kirs","1","2","0","3","all-fixed.csv","4"
NA,"KODerFunk","0","1","0","1","all-fixed.csv","4"
