"txt","person","inDegree","outDegree","betweenness","totalDegree","timeperiod","timeperiodNum"
NA,"shwoodard","7","1","308","8","comments-fixed.csv","1"
NA,"sikachu","1","1","0","2","comments-fixed.csv","1"
NA,"spagalioco","2","5","0","7","comments-fixed.csv","1"
NA,"spastorino","14","8","388.76512079443","22","comments-fixed.csv","1"
NA,"spohlenz","5","11","135.151649090157","16","comments-fixed.csv","1"
NA,"sr3d","0","1","0","1","comments-fixed.csv","1"
NA,"tarikjn","1","1","0","2","comments-fixed.csv","1"
NA,"tenderlove","8","2","149.037862786765","10","comments-fixed.csv","1"
NA,"Tho85","16","4","534.781890331891","20","comments-fixed.csv","1"
NA,"tiegz","0","3","0","3","comments-fixed.csv","1"
NA,"TildeWill","1","0","0","1","comments-fixed.csv","1"
NA,"travisp","0","1","0","1","comments-fixed.csv","1"
NA,"unimatrixZxero","0","1","0","1","comments-fixed.csv","1"
NA,"vijaydev","3","5","42.8253104053794","8","comments-fixed.csv","1"
NA,"yaroslav","0","1","0","1","comments-fixed.csv","1"
NA,"zenprogrammer","19","11","747.38260344932","30","comments-fixed.csv","1"
"35","bestie","3","3","0","6","comments-fixed.csv","2"
NA,"bobbytables","2","0","0","2","comments-fixed.csv","2"
NA,"bogdan","9","0","0","9","comments-fixed.csv","2"
NA,"dasch","1","6","12","7","comments-fixed.csv","2"
NA,"davidknezic","0","1","0","1","comments-fixed.csv","2"
NA,"dbenhur","1","1","0","2","comments-fixed.csv","2"
NA,"dmitriy-kiriyenko","1","3","0","4","comments-fixed.csv","2"
NA,"dmitry","0","1","0","1","comments-fixed.csv","2"
NA,"eparreno","1","0","0","1","comments-fixed.csv","2"
NA,"fxn","2","2","23.6666666666667","4","comments-fixed.csv","2"
NA,"gmcnaughton","0","1","0","1","comments-fixed.csv","2"
NA,"guilleiguaran","8","5","75","13","comments-fixed.csv","2"
NA,"homakov","0","3","0","3","comments-fixed.csv","2"
NA,"isaacsanders","2","5","92","7","comments-fixed.csv","2"
NA,"jacobo","6","2","21","8","comments-fixed.csv","2"
NA,"jeremy","4","3","8.33333333333333","7","comments-fixed.csv","2"
NA,"joevandyk","3","3","46","6","comments-fixed.csv","2"
NA,"jonleighton","5","3","26.8333333333333","8","comments-fixed.csv","2"
NA,"josevalim","9","13","156.166666666667","22","comments-fixed.csv","2"
NA,"jwulff","0","2","0","2","comments-fixed.csv","2"
NA,"kennyj","1","1","0","2","comments-fixed.csv","2"
NA,"larzconwell","1","4","0","5","comments-fixed.csv","2"
NA,"lawrencepit","8","5","39","13","comments-fixed.csv","2"
NA,"monde","1","1","0","2","comments-fixed.csv","2"
NA,"oggy","3","0","0","3","comments-fixed.csv","2"
NA,"rafaelfranca","0","1","0","1","comments-fixed.csv","2"
NA,"seanwalbran","1","1","0","2","comments-fixed.csv","2"
NA,"sobrinho","0","2","0","2","comments-fixed.csv","2"
NA,"spastorino","1","0","0","1","comments-fixed.csv","2"
NA,"steveklabnik","2","2","0","4","comments-fixed.csv","2"
NA,"tenderlove","3","0","0","3","comments-fixed.csv","2"
NA,"thomasfedb","0","1","0","1","comments-fixed.csv","2"
NA,"vijaydev","1","3","0","4","comments-fixed.csv","2"
NA,"vjt","0","1","0","1","comments-fixed.csv","2"
NA,"willbryant","2","2","24","4","comments-fixed.csv","2"
"43","amatsuda","18","8","369.749142524143","26","comments-fixed.csv","3"
NA,"bfolkens","1","0","0","1","comments-fixed.csv","3"
NA,"blakeeb","2","1","24","3","comments-fixed.csv","3"
NA,"bogdan","2","2","0","4","comments-fixed.csv","3"
NA,"brentsowers1","0","2","0","2","comments-fixed.csv","3"
NA,"carlosantoniodasilva","1","1","0","2","comments-fixed.csv","3"
NA,"chriseppstein","6","7","0","13","comments-fixed.csv","3"
NA,"danielvlopes","1","2","0","3","comments-fixed.csv","3"
NA,"derekprior","5","3","72","8","comments-fixed.csv","3"
NA,"dvyjones","2","2","23","4","comments-fixed.csv","3"
NA,"fxn","5","4","130.444444444444","9","comments-fixed.csv","3"
NA,"gregolsen","7","2","74","9","comments-fixed.csv","3"
NA,"guilleiguaran","16","6","217.107575757576","22","comments-fixed.csv","3"
NA,"isaacsanders","0","1","0","1","comments-fixed.csv","3"
NA,"jdelStrother","13","11","122","24","comments-fixed.csv","3"
NA,"jeremy","2","5","84","7","comments-fixed.csv","3"
NA,"jfirebaugh","0","1","0","1","comments-fixed.csv","3"
NA,"joevandyk","1","2","0","3","comments-fixed.csv","3"
NA,"jonleighton","5","10","126.5","15","comments-fixed.csv","3"
NA,"josevalim","18","24","520.750108225108","42","comments-fixed.csv","3"
NA,"jrochkind","1","1","0","2","comments-fixed.csv","3"
NA,"kjohnston","0","1","0","1","comments-fixed.csv","3"
NA,"krainboltgreene","7","4","114.087337662338","11","comments-fixed.csv","3"
NA,"lest","0","1","0","1","comments-fixed.csv","3"
NA,"mkdynamic","0","1","0","1","comments-fixed.csv","3"
NA,"nashby","4","4","56.1281662781663","8","comments-fixed.csv","3"
NA,"parndt","1","0","0","1","comments-fixed.csv","3"
NA,"paulschreiber","0","1","0","1","comments-fixed.csv","3"
NA,"qoobaa","0","1","0","1","comments-fixed.csv","3"
NA,"rafaelfranca","0","1","0","1","comments-fixed.csv","3"
NA,"rapind","0","1","0","1","comments-fixed.csv","3"
NA,"robgleeson","1","1","0","2","comments-fixed.csv","3"
NA,"ryanlecompte","4","1","24","5","comments-fixed.csv","3"
NA,"spastorino","0","1","0","1","comments-fixed.csv","3"
NA,"splattael","2","2","0","4","comments-fixed.csv","3"
NA,"stevenh512","0","1","0","1","comments-fixed.csv","3"
NA,"taelor","0","1","0","1","comments-fixed.csv","3"
NA,"taq","0","1","0","1","comments-fixed.csv","3"
NA,"tenderlove","4","3","88.0954545454545","7","comments-fixed.csv","3"
NA,"vijaydev","6","8","183.137770562771","14","comments-fixed.csv","3"
NA,"wsouto","0","3","0","3","comments-fixed.csv","3"
NA,"wxianfeng","0","1","0","1","comments-fixed.csv","3"
NA,"wycats","0","2","0","2","comments-fixed.csv","3"
"46","alexeymuranov","14","23","192.41381146217","37","comments-fixed.csv","4"
NA,"amatsuda","3","0","0","3","comments-fixed.csv","4"
NA,"Antiarchitect","14","4","225.704069264069","18","comments-fixed.csv","4"
NA,"arunagw","10","11","56.3970099527023","21","comments-fixed.csv","4"
NA,"Bazai","0","1","0","1","comments-fixed.csv","4"
NA,"benmmurphy","7","7","152","14","comments-fixed.csv","4"
NA,"bogdan","2","0","0","2","comments-fixed.csv","4"
NA,"borisd","3","0","0","3","comments-fixed.csv","4"
NA,"carlosantoniodasilva","2","5","48.3968831168831","7","comments-fixed.csv","4"
NA,"carlosramireziii","0","1","0","1","comments-fixed.csv","4"
NA,"drogus","5","8","105.10870789672","13","comments-fixed.csv","4"
NA,"dvyjones","2","2","0","4","comments-fixed.csv","4"
NA,"egilburg","0","2","0","2","comments-fixed.csv","4"
NA,"freegenie","1","1","0","2","comments-fixed.csv","4"
NA,"fxn","4","1","0","5","comments-fixed.csv","4"
NA,"gazay","3","2","97","5","comments-fixed.csv","4"
NA,"guilleiguaran","7","10","182.867811934901","17","comments-fixed.csv","4"
NA,"isaacsanders","2","5","49.8311688311688","7","comments-fixed.csv","4"
NA,"jcoleman","1","0","0","1","comments-fixed.csv","4"
NA,"jdelStrother","4","0","0","4","comments-fixed.csv","4"
NA,"jeremy","1","2","36.5","3","comments-fixed.csv","4"
NA,"jonleighton","17","5","1.45197319434103","22","comments-fixed.csv","4"
NA,"josevalim","20","25","527.402390675429","45","comments-fixed.csv","4"
NA,"juwalter","1","1","0","2","comments-fixed.csv","4"
NA,"kevinzen","0","1","0","1","comments-fixed.csv","4"
NA,"kirs","1","2","0","3","comments-fixed.csv","4"
NA,"KODerFunk","0","1","0","1","comments-fixed.csv","4"
NA,"kommen","2","2","0","4","comments-fixed.csv","4"
NA,"lawrencepit","1","2","0","3","comments-fixed.csv","4"
NA,"lest","4","9","110.424588744589","13","comments-fixed.csv","4"
NA,"mferrier","0","1","0","1","comments-fixed.csv","4"
NA,"nashby","15","10","115.477661789687","25","comments-fixed.csv","4"
NA,"orslumen","0","1","0","1","comments-fixed.csv","4"
NA,"parndt","0","1","0","1","comments-fixed.csv","4"
NA,"pdjota","2","2","0","4","comments-fixed.csv","4"
NA,"pederbl","1","0","0","1","comments-fixed.csv","4"
NA,"petervandenabeele","2","2","2.92857142857143","4","comments-fixed.csv","4"
NA,"qoobaa","0","1","0","1","comments-fixed.csv","4"
NA,"rafaelfranca","0","2","0","2","comments-fixed.csv","4"
NA,"rdp","1","0","0","1","comments-fixed.csv","4"
NA,"sferik","0","1","0","1","comments-fixed.csv","4"
NA,"spastorino","1","1","54","2","comments-fixed.csv","4"
NA,"steveklabnik","0","2","0","2","comments-fixed.csv","4"
NA,"tenderlove","12","8","393.554918808336","20","comments-fixed.csv","4"
NA,"vijaydev","8","8","70.2070995670996","16","comments-fixed.csv","4"
NA,"wycats","2","2","1.33333333333333","4","comments-fixed.csv","4"
"47","aceofspades","1","1","33","2","comments-fixed.csv","5"
